#,Company,Symbol,YTD Return
130,ELI LILLY + CO,LLY,7.48%
131,SCHLUMBERGER LTD,SLB,7.30%
132,HARTFORD INSURANCE GROUP INC,HIG,7.27%
133,COLGATE PALMOLIVE CO,CL,7.25%
134,INVITATION HOMES INC,INVH,7.16%
135,ALLIANT ENERGY CORP,LNT,6.98%
136,WEYERHAEUSER CO,WY,6.82%
137,POOL CORP,POOL,6.80%
138,TRAVELERS COS INC/THE,TRV,6.53%
139,LABCORP HOLDINGS INC,LH,6.46%
140,APTIV PLC,APTV,6.38%
141,JM SMUCKER CO/THE,SJM,6.34%
142,PACCAR INC,PCAR,6.29%
143,EASTMAN CHEMICAL CO,EMN,6.27%
144,NEXTERA ENERGY INC,NEE,6.24%
145,ENTERGY CORP,ETR,6.12%
146,MONSTER BEVERAGE CORP,MNST,6.11%
147,CHUBB LTD,CB,6.03%
148,WILLIS TOWERS WATSON PLC,WTW,5.99%
149,F5 INC,FFIV,5.98%
150,REVVITY INC,RVTY,5.93%
151,PAYCOM SOFTWARE INC,PAYC,5.88%
152,METTLER TOLEDO INTERNATIONAL,MTD,5.78%
153,CORTEVA INC,CTVA,5.76%
154,EVERGY INC,EVRG,5.70%
155,PPL CORP,PPL,5.61%
156,NORTHROP GRUMMAN CORP,NOC,5.57%
157,IDEXX LABORATORIES INC,IDXX,5.57%
158,ILLINOIS TOOL WORKS,ITW,5.56%
159,ZOETIS INC,ZTS,5.44%
160,TRANSDIGM GROUP INC,TDG,5.43%
161,BOSTON SCIENTIFIC CORP,BSX,5.39%
162,SHERWIN WILLIAMS CO/THE,SHW,5.25%
163,WATERS CORP,WAT,5.21%
164,CAMDEN PROPERTY TRUST,CPT,5.16%
165,PROCTER + GAMBLE CO/THE,PG,5.14%
166,DOMINION ENERGY INC,D,4.98%
167,KRAFT HEINZ CO/THE,KHC,4.92%
168,CISCO SYSTEMS INC,CSCO,4.83%
169,DOMINO S PIZZA INC,DPZ,4.83%
170,ESSEX PROPERTY TRUST INC,ESS,4.79%
171,NISOURCE INC,NI,4.79%
172,CARDINAL HEALTH INC,CAH,4.79%
173,ZIMMER BIOMET HOLDINGS INC,ZBH,4.75%
174,COTERRA ENERGY INC,CTRA,4.74%
175,ALEXANDRIA REAL ESTATE EQUIT,ARE,4.74%
176,DARDEN RESTAURANTS INC,DRI,4.73%
177,PUBLIC STORAGE,PSA,4.73%
178,AIR PRODUCTS + CHEMICALS INC,APD,4.71%
179,STEEL DYNAMICS INC,STLD,4.67%
180,REGENERON PHARMACEUTICALS,REGN,4.56%
181,DEVON ENERGY CORP,DVN,4.52%
182,FISERV INC,FI,4.48%
183,GARMIN LTD,GRMN,4.39%
184,HUNTINGTON INGALLS INDUSTRIE,HII,4.27%
185,EXTRA SPACE STORAGE INC,EXR,4.12%
186,EXXON MOBIL CORP,XOM,3.93%
187,L3HARRIS TECHNOLOGIES INC,LHX,3.60%
188,TE CONNECTIVITY PLC,TEL,3.55%
189,AUTOMATIC DATA PROCESSING,ADP,3.50%
190,RESMED INC,RMD,3.47%
191,MICRON TECHNOLOGY INC,MU,3.47%
192,VALERO ENERGY CORP,VLO,3.43%
193,TELEDYNE TECHNOLOGIES INC,TDY,3.22%
194,AFLAC INC,AFL,3.21%
195,GENERAL DYNAMICS CORP,GD,3.21%
196,ALLSTATE CORP,ALL,3.09%
197,LYONDELLBASELL INDU CL A,LYB,3.06%
198,EQT CORP,EQT,2.99%
199,INCYTE CORP,INCY,2.98%
200,BROADRIDGE FINANCIAL SOLUTIO,BR,2.81%
201,STRYKER CORP,SYK,2.80%
202,PEPSICO INC,PEP,2.76%
203,XCEL ENERGY INC,XEL,2.71%
204,EOG RESOURCES INC,EOG,2.70%
205,WYNN RESORTS LTD,WYNN,2.62%
206,GENERAL MILLS INC,GIS,2.40%
207,NEWS CORP CLASS B,NWS,2.20%
208,LAM RESEARCH CORP,LRCX,2.19%
209,META PLATFORMS INC CLASS A,META,2.13%
210,SMITH (A.O.) CORP,AOS,2.05%
211,MASTERCARD INC A,MA,2.00%
212,UDR INC,UDR,1.98%
213,COSTCO WHOLESALE CORP,COST,1.98%
214,HEALTHPEAK PROPERTIES INC,DOC,1.97%
215,NORFOLK SOUTHERN CORP,NSC,1.87%
216,MASCO CORP,MAS,1.85%
217,KELLANOVA,K,1.83%
218,ANALOG DEVICES INC,ADI,1.79%
219,FORTINET INC,FTNT,1.65%
220,DAVITA INC,DVA,1.57%
221,NORDSON CORP,NDSN,1.51%
222,KEURIG DR PEPPER INC,KDP,1.31%
223,THERMO FISHER SCIENTIFIC INC,TMO,1.26%
224,ALLEGION PLC,ALLE,1.24%
225,MOSAIC CO/THE,MOS,1.22%
226,GEN DIGITAL INC,GEN,1.13%
227,PALANTIR TECHNOLOGIES INC A,PLTR,0.99%
228,NIKE INC CL B,NKE,0.96%
229,OLD DOMINION FREIGHT LINE,ODFL,0.89%
230,QUALCOMM INC,QCOM,0.89%
231,SYSCO CORP,SYY,0.88%
